GS,MP,FG,FGA,2P,2PA,FT,FTA,DRB,TRB,AST,STL,TOV,PTS
67.0,39.9,9.7,23.4,7.1,15.7,5.9,7.5,4.6,6.0,5.5,1.4,2.7,28.0
47.0,42.5,9.1,23.4,7.9,19.3,7.1,9.5,3.0,3.7,6.8,2.4,4.4,26.4
82.0,39.4,9.8,19.6,9.7,19.1,4.5,5.7,10.9,13.9,5.0,1.5,2.6,24.2
81.0,40.3,8.2,17.1,5.2,10.3,4.9,5.2,5.1,6.3,2.1,1.3,1.9,24.2
64.0,37.6,7.9,18.1,6.8,14.8,7.0,8.2,3.9,5.5,5.1,1.7,2.6,24.0
56.0,38.4,8.0,18.2,5.3,11.4,4.4,4.8,3.9,5.1,4.8,1.3,2.8,23.0
80.0,38.7,7.5,18.7,6.1,13.9,6.5,7.9,5.7,6.5,5.1,1.6,3.8,23.0
66.0,40.1,8.3,20.9,5.5,12.2,3.5,5.3,3.3,4.3,7.5,2.4,3.2,22.9
73.0,38.2,8.3,20.0,7.1,16.6,4.6,5.7,3.5,4.8,4.8,1.2,3.1,22.5
68.0,36.6,8.6,17.1,8.6,16.9,5.1,8.5,9.2,12.4,3.1,0.9,2.7,22.3
77.0,37.9,7.9,17.0,6.6,13.2,4.8,5.5,7.5,8.7,2.7,1.2,1.8,21.8
82.0,36.8,7.7,17.5,6.2,13.1,4.7,5.4,3.5,5.0,2.3,1.0,1.4,21.7
82.0,36.5,7.6,17.9,6.8,15.3,5.0,6.4,3.8,6.1,2.8,1.2,3.0,21.0
79.0,39.5,7.9,18.9,7.1,16.1,4.4,5.8,4.2,5.5,5.9,1.6,3.5,20.9
18.0,38.4,8.2,20.9,7.2,17.4,3.4,4.2,5.2,6.2,2.5,0.7,1.9,20.8
72.0,36.0,6.2,13.9,5.2,10.7,7.2,8.5,4.6,5.9,3.1,0.9,2.8,20.7
53.0,36.8,7.5,15.7,7.5,15.6,5.6,7.9,6.2,9.0,1.4,1.2,3.2,20.6
81.0,40.2,7.4,17.1,6.3,13.7,4.4,5.4,2.5,3.2,8.9,1.6,3.1,20.2
34.0,41.6,7.7,17.8,6.6,14.4,4.3,5.4,2.9,3.4,8.3,1.9,2.9,20.8
47.0,39.1,7.1,16.6,6.1,13.3,4.4,5.3,2.3,3.1,9.3,1.4,3.2,19.8
78.0,35.7,7.8,17.9,7.8,17.7,4.5,5.9,7.5,10.0,2.1,0.8,2.3,20.1
80.0,37.9,8.2,16.9,8.2,16.8,3.7,4.9,7.5,10.5,2.0,0.8,3.0,20.1
68.0,38.7,7.0,14.2,7.0,14.2,6.0,7.7,6.4,10.3,3.3,0.9,2.8,20.0
81.0,35.0,7.7,15.7,6.7,13.4,3.6,4.1,2.8,3.3,7.3,1.3,2.7,19.8
52.0,37.6,6.5,16.6,4.2,10.6,4.3,5.8,3.6,4.6,5.0,1.9,4.1,19.6
79.0,40.7,7.5,17.0,6.3,13.6,2.9,3.4,6.6,9.3,2.7,2.1,2.0,19.0
61.0,33.8,6.6,16.5,5.3,12.7,4.4,5.5,3.8,5.3,2.4,1.6,2.5,18.8
78.0,37.6,7.2,16.5,6.2,13.0,3.3,4.8,5.1,6.7,2.9,1.1,2.5,18.7
23.0,36.1,7.6,18.3,7.5,18.1,3.5,5.0,6.6,8.7,4.6,1.3,2.6,18.7
72.0,38.6,7.1,16.1,5.1,11.0,2.3,2.7,3.4,4.5,2.9,1.2,1.2,18.6
50.0,36.0,6.8,15.6,5.1,11.6,3.1,3.4,2.0,2.4,2.0,0.8,2.0,18.5
82.0,38.2,6.8,13.6,6.2,12.0,4.4,5.7,4.3,5.7,3.8,1.1,2.4,18.5
82.0,36.3,6.4,14.3,4.6,9.7,3.7,4.5,2.6,3.4,5.4,1.4,2.1,18.4
71.0,37.2,6.4,15.2,5.4,11.9,4.4,6.0,3.9,5.3,3.7,2.1,2.8,18.3
78.0,36.8,6.7,15.8,4.9,10.4,2.9,3.7,3.4,4.6,3.1,1.8,2.8,18.1
80.0,36.6,6.7,15.4,4.9,10.5,2.6,3.4,4.8,6.5,2.2,1.2,1.7,17.8
78.0,31.5,6.5,13.4,6.4,13.3,4.7,6.6,5.1,7.7,2.5,0.6,2.4,17.7
78.0,35.5,6.8,14.9,6.6,14.1,3.8,4.4,2.6,3.6,4.0,1.3,2.7,17.6
82.0,32.8,6.5,12.5,6.5,12.5,4.4,5.4,6.6,9.0,1.5,0.3,2.5,17.5
73.0,35.1,6.4,16.5,4.3,10.0,2.5,3.0,3.0,3.5,5.1,1.4,2.4,17.3
81.0,37.0,5.8,14.3,3.7,8.4,3.4,4.1,3.3,3.8,3.2,1.1,1.6,17.3
64.0,36.0,6.5,16.4,4.7,11.2,2.3,3.1,4.1,6.4,2.1,1.0,2.2,17.2
80.0,37.5,6.1,14.1,5.3,11.5,4.3,5.7,7.7,9.7,4.1,1.1,3.0,17.1
77.0,35.5,6.5,14.4,6.5,14.4,3.9,4.9,4.9,7.0,2.0,0.7,2.2,17.0
78.0,35.4,5.0,12.8,3.4,8.5,5.2,5.9,3.1,3.5,5.7,1.1,2.4,16.9
82.0,37.8,6.3,15.4,5.1,11.8,2.9,3.6,3.1,3.8,3.5,1.1,1.9,16.8
78.0,37.3,6.2,14.8,4.4,9.6,2.7,3.2,3.5,4.1,5.4,1.5,2.8,16.8
77.0,40.6,6.8,15.7,5.8,12.4,2.1,2.8,3.7,4.7,4.4,1.1,2.4,16.7
62.0,34.6,6.8,13.8,6.6,13.5,3.1,4.5,7.4,9.5,2.5,1.5,2.6,16.7
79.0,40.4,5.7,14.1,4.8,11.0,4.3,5.5,4.0,5.5,6.2,1.8,3.7,16.6
42.0,31.8,6.5,14.6,5.7,12.2,2.7,3.3,3.4,4.5,1.4,1.0,2.5,16.6
78.0,37.1,5.3,11.9,4.4,9.4,5.0,6.4,5.2,8.1,3.1,1.9,2.8,16.5
56.0,31.6,5.9,12.4,5.8,12.0,4.4,5.0,5.3,7.5,2.0,0.8,2.2,16.3
53.0,36.9,7.2,14.9,7.1,14.5,5.5,6.3,6.7,9.3,2.4,0.8,2.5,20.1
3.0,22.8,3.7,8.3,3.6,7.9,2.5,3.0,3.0,4.5,1.5,0.8,1.7,10.0
31.0,36.6,6.2,13.2,6.0,12.2,3.5,5.1,5.0,8.0,2.0,0.7,2.1,16.2
56.0,34.9,6.1,13.1,5.8,12.2,3.8,5.1,2.7,4.0,4.5,1.4,3.2,16.2
62.0,32.5,5.7,12.5,4.4,9.3,3.5,4.0,4.9,7.0,1.7,0.9,2.3,16.1
47.0,33.5,5.8,13.0,4.5,9.6,3.5,4.2,5.2,7.3,1.8,1.1,2.5,16.4
15.0,30.6,5.5,11.6,4.2,8.7,3.4,3.6,4.3,6.3,1.5,0.6,2.0,15.7
66.0,35.1,6.3,14.3,5.0,10.7,2.3,3.1,5.3,6.8,2.3,0.9,1.8,16.0
44.0,37.2,6.6,14.9,5.3,11.0,2.6,3.4,5.1,6.6,2.5,0.8,1.9,17.0
1.0,42.0,8.0,24.0,7.0,18.0,3.0,3.0,5.0,6.0,2.0,1.0,3.0,20.0
21.0,30.6,5.5,12.8,4.5,9.6,1.7,2.5,5.6,7.0,1.8,1.1,1.3,13.7
80.0,40.4,5.8,13.5,3.7,8.3,2.2,2.7,4.0,4.5,3.2,1.3,2.3,15.8
64.0,37.8,5.8,14.4,4.8,11.4,2.8,3.5,3.5,4.0,5.0,0.8,3.2,15.5
14.0,33.1,4.7,12.5,3.3,9.1,2.4,3.2,3.6,4.0,3.5,0.8,2.3,13.3
50.0,39.4,6.2,15.0,5.2,12.1,3.0,3.6,3.5,4.0,5.5,0.8,3.4,16.2
75.0,34.6,6.3,12.0,6.3,11.9,2.9,3.8,8.4,11.4,2.0,1.0,1.8,15.5
66.0,36.6,5.5,14.3,4.1,9.9,3.1,3.7,5.1,6.4,9.2,1.8,3.2,15.5
81.0,31.3,5.8,11.9,5.7,11.8,3.7,5.0,4.6,8.1,1.3,0.5,2.0,15.3
2.0,29.0,6.0,11.1,5.8,10.6,2.7,3.6,3.5,6.3,0.9,1.0,1.0,14.8
82.0,34.6,5.2,11.5,5.1,10.7,4.2,5.0,2.9,4.5,6.1,1.7,2.6,14.8
74.0,36.4,5.7,12.4,4.1,8.5,1.6,2.2,7.3,9.9,1.5,1.1,1.4,14.7
